location_id,latitude,longitude,flood_severity,population_density,avg_income,predominant_household_type,demand_hygiene,demand_clothing,demand_food,nearest_dist_point_id,dist_point_latitude,dist_point_longitude,distance_to_point_km,point_capacity_hygiene,point_capacity_clothing,point_capacity_food,accessibility_score
LOC_6468c348,-23.69153404828119,-46.549257371205776,2,931.52,1977.28,Casal,5,3,4,DP_e82396bc,-23.654765833563626,-46.547771504507246,4.08,2,7,8,6
LOC_4f4394b0,-23.577695730961175,-46.51430459248011,3,1253.15,2118.22,Casal,6,4,6,DP_d8b2af58,-23.60816697866152,-46.539444179453824,4.24,7,4,3,5
LOC_64a95ec7,-23.613025200219084,-46.71795501784888,2,1927.12,1954.28,Família com Crianças,2,3,5,DP_105d35a6,-23.603584515220458,-46.70223643187409,1.91,8,9,4,8
LOC_c043922c,-23.652102661216055,-46.760923261562546,1,927.66,500.0,Família com Crianças,3,1,2,DP_3fa9402c,-23.643582018815305,-46.79543261504149,3.63,7,5,6,8
LOC_ebb29c2a,-23.562420855530345,-46.73986787079987,3,4130.17,1286.86,Adulto Sozinho,7,4,1,DP_3995de33,-23.57631254942576,-46.74539001789135,1.64,8,2,7,7
LOC_f9c6a936,-23.569600389697236,-46.64172198163624,2,1521.01,2116.44,Adulto Sozinho,3,6,1,DP_a00fb47c,-23.562621931093844,-46.63620259607727,0.96,4,10,2,7
LOC_b7bd7ac5,-23.55720838032412,-46.678729519986014,4,408.57,2977.93,Família com Crianças,6,10,8,DP_5af9beb7,-23.54347991050569,-46.675420925446126,1.56,9,8,9,4
LOC_36c15c6b,-23.579850737511304,-46.685418654413006,2,1980.73,3007.19,Família com Crianças,1,7,2,DP_2292002c,-23.580491623989225,-46.69087774938304,0.56,8,1,6,8
LOC_d61c6e59,-23.414499351994056,-46.55154958068858,3,1811.87,3739.54,Casal,6,9,6,DP_f1441d18,-23.41135547459535,-46.51544828235832,3.69,7,1,9,5
LOC_837764eb,-23.570713351567154,-46.7221714224004,2,304.81,2366.83,Família com Crianças,9,5,4,DP_3995de33,-23.57631254942576,-46.74539001789135,2.44,8,2,7,7
LOC_c99ca3c0,-23.514767071509176,-46.59525437526134,2,1231.46,3169.49,Adulto Sozinho,2,2,4,DP_016f9fd0,-23.497880501976127,-46.591292407219186,1.92,3,6,1,10
LOC_dc2dba89,-23.546265315134313,-46.660904505216145,1,1148.16,1634.92,Idosos,1,1,1,DP_d3e22f02,-23.55225828470366,-46.653110209687966,1.04,4,6,5,10
LOC_52c198aa,-23.53402294438373,-46.720991258625496,1,2259.51,692.2,Família com Crianças,2,4,1,DP_eeaf801e,-23.531213276674276,-46.71786423760367,0.45,7,3,5,10
LOC_357f000c,-23.680837388022447,-46.5575256077348,2,715.44,1890.02,Idosos,2,2,1,DP_e82396bc,-23.654765833563626,-46.547771504507246,3.06,2,7,8,7
LOC_b0001ee4,-23.56094700470006,-46.53707304468988,4,999.53,8272.36,Casal,10,10,3,DP_d8734910,-23.547536481487874,-46.56496540563815,3.2,4,8,6,3
LOC_3e84c98e,-23.413853157794623,-46.66193090311967,4,594.96,2543.87,Casal,5,5,4,DP_f793fdd2,-23.431616529114766,-46.66263748164485,1.97,6,7,7,5
LOC_37dcbc48,-23.565436563181013,-46.71389605054937,3,850.69,1620.63,Adulto Sozinho,4,8,1,DP_2292002c,-23.580491623989225,-46.69087774938304,2.88,8,1,6,5
LOC_995cb5f6,-23.444461250824247,-46.51680638706816,4,843.87,1853.71,Casal,8,7,9,DP_f1441d18,-23.41135547459535,-46.51544828235832,3.68,7,1,9,3
LOC_ae60a143,-23.598814744652316,-46.53181447123757,3,1077.29,4853.73,Idosos,5,4,8,DP_d8b2af58,-23.60816697866152,-46.539444179453824,1.3,7,4,3,8
LOC_ef36c5a5,-23.447220940817047,-46.546705406265076,4,1686.43,2939.83,Família com Crianças,10,8,8,DP_add8a21a,-23.445722312961912,-46.579277303118424,3.32,3,6,10,1
LOC_dc7bc7ce,-23.689382634085497,-46.77185074084777,1,1596.8,2237.97,Idosos,2,1,3,DP_3fa9402c,-23.643582018815305,-46.79543261504149,5.62,7,5,6,7
LOC_846940fc,-23.43228613016955,-46.607447242700744,4,626.01,3727.36,Família com Crianças,7,9,7,DP_9d82889e,-23.412487099186073,-46.61579868604996,2.36,9,2,8,4
LOC_7b8ba788,-23.555067859559575,-46.55606202468979,3,429.38,1990.5,Família com Crianças,3,8,8,DP_d8734910,-23.547536481487874,-46.56496540563815,1.23,4,8,6,6
LOC_619f8b04,-23.41416856912057,-46.51702052699891,4,853.46,2305.21,Família com Crianças,10,10,9,DP_f1441d18,-23.41135547459535,-46.51544828235832,0.35,7,1,9,5
LOC_87d4207c,-23.491066773904777,-46.63099340612719,4,367.96,5028.9,Família com Crianças,7,10,5,DP_2797e0bd,-23.51956257185729,-46.63257593664645,3.17,2,4,3,4
LOC_5a5bf660,-23.647972389834433,-46.76339848708552,1,4383.6,984.76,Família com Crianças,2,3,7,DP_3fa9402c,-23.643582018815305,-46.79543261504149,3.29,7,5,6,8
LOC_d607a46c,-23.51377066118723,-46.691624829638144,3,262.95,1309.22,Família com Crianças,5,10,4,DP_b94f8228,-23.501066491511626,-46.685593555369756,1.54,1,5,9,6
LOC_7f6d33d8,-23.696240808178597,-46.58698075384382,3,838.29,3690.48,Família com Crianças,7,7,6,DP_3b1ed2d1,-23.692287237134426,-46.599988112303,1.39,2,7,3,5
LOC_a1e5d203,-23.51229614298335,-46.513808821514075,4,1559.86,5968.58,Casal,7,6,6,DP_bf7dae2b,-23.511500995954705,-46.5273576580429,1.38,1,10,9,4
LOC_143e2c50,-23.540112502624982,-46.7244854639074,3,223.97,1114.25,Família com Crianças,6,8,1,DP_eeaf801e,-23.531213276674276,-46.71786423760367,1.2,7,3,5,4
LOC_7ae90390,-23.452048765299374,-46.63194904315828,3,424.02,500.0,Família com Crianças,4,7,8,DP_95a74d50,-23.452744487818617,-46.638285576622025,0.65,3,3,8,5
LOC_727157ca,-23.655723222471373,-46.55337164847142,3,578.62,763.92,Casal,6,2,5,DP_e82396bc,-23.654765833563626,-46.547771504507246,0.58,2,7,8,8
LOC_abf2c6f9,-23.619036504989847,-46.70969082612736,1,1758.94,500.0,Família com Crianças,3,6,5,DP_92787c0a,-23.63476440130138,-46.71492660975597,1.83,3,10,2,9
LOC_6c24cb4c,-23.535202026483365,-46.612060514315175,3,577.98,2184.98,Família com Crianças,4,6,5,DP_b3c55870,-23.55728139621098,-46.61054198441712,2.46,4,2,5,5
LOC_a14bd028,-23.519388565058044,-46.6316758057471,3,971.56,638.84,Família com Crianças,5,9,6,DP_2797e0bd,-23.51956257185729,-46.63257593664645,0.09,2,4,3,7
LOC_c7cbc7c0,-23.599480749620195,-46.715265696542744,3,1417.63,855.72,Casal,1,6,4,DP_105d35a6,-23.603584515220458,-46.70223643187409,1.4,8,9,4,6
LOC_fa619786,-23.510506398695604,-46.66703710866621,4,396.31,9104.66,Família com Crianças,8,6,7,DP_b94f8228,-23.501066491511626,-46.685593555369756,2.16,1,5,9,6
LOC_4b1777e2,-23.59128199682976,-46.744827534372334,1,220.54,763.03,Família com Crianças,3,1,2,DP_3995de33,-23.57631254942576,-46.74539001789135,1.66,8,2,7,7
LOC_2ad6e7fc,-23.565148238932927,-46.766679575157404,2,243.31,500.0,Idosos,1,3,6,DP_343959a8,-23.582683765439054,-46.76817242326442,1.95,3,9,2,9
LOC_f45c67ac,-23.671799330918265,-46.70918780648481,2,1454.18,6687.17,Casal,3,1,3,DP_92787c0a,-23.63476440130138,-46.71492660975597,4.15,3,10,2,5
LOC_c1e64982,-23.589598346317967,-46.689513182486515,3,1189.52,2298.17,Idosos,5,8,8,DP_2292002c,-23.580491623989225,-46.69087774938304,1.02,8,1,6,6
LOC_b705ae65,-23.657865493048476,-46.71011101129917,2,932.92,3006.52,Adulto Sozinho,4,5,4,DP_92787c0a,-23.63476440130138,-46.71492660975597,2.61,3,10,2,5
LOC_ffd50dfa,-23.495207169781256,-46.61993845977379,2,1203.45,2286.77,Adulto Sozinho,6,1,8,DP_016f9fd0,-23.497880501976127,-46.591292407219186,2.93,3,6,1,3
LOC_ae0075d5,-23.68940979824811,-46.799894593969505,3,378.2,6236.93,Família com Crianças,5,5,8,DP_3fa9402c,-23.643582018815305,-46.79543261504149,5.11,7,5,6,2
LOC_084355ab,-23.536993738765037,-46.59615995245822,2,1370.67,2453.25,Casal,3,3,1,DP_ea4ff28e,-23.539984614076108,-46.58729301667153,0.96,10,7,5,8
LOC_48699e7a,-23.495967773227548,-46.717787696105766,3,195.78,4042.11,Casal,5,7,4,DP_0ebff7ba,-23.483499439277384,-46.71833794171456,1.39,10,7,8,8
LOC_6b52cb21,-23.51422313790989,-46.55074775189344,4,1479.16,3783.62,Família com Crianças,6,6,7,DP_bf7dae2b,-23.511500995954705,-46.5273576580429,2.4,1,10,9,5
LOC_bf029e92,-23.561785561409128,-46.65447625764846,2,2704.51,3722.44,Casal,1,6,6,DP_d3e22f02,-23.55225828470366,-46.653110209687966,1.07,4,6,5,8
LOC_48dad1e9,-23.657892256427154,-46.640656516625555,2,1101.86,500.0,Família com Crianças,4,6,3,DP_00670d2b,-23.64530423036534,-46.632571571084796,1.62,1,9,1,9
LOC_1ebba64d,-23.581388988126985,-46.78253662914426,2,1135.34,573.01,Família com Crianças,3,5,7,DP_343959a8,-23.582683765439054,-46.76817242326442,1.47,3,9,2,6
LOC_de56fc1c,-23.409662665996457,-46.64816808958502,3,360.31,788.9,Casal,5,7,6,DP_f793fdd2,-23.431616529114766,-46.66263748164485,2.85,6,7,7,7
LOC_efc9e8df,-23.43879885006361,-46.50814779630865,4,811.95,5810.79,Adulto Sozinho,7,8,7,DP_f1441d18,-23.41135547459535,-46.51544828235832,3.14,7,1,9,3
LOC_b0f50a47,-23.482713611939893,-46.54562177824069,3,463.04,2722.69,Idosos,7,1,6,DP_1e5bc3a8,-23.47862762750177,-46.54295633645559,0.53,8,6,4,7
LOC_efd6718b,-23.6958744220261,-46.650817538865425,2,754.2,855.78,Família com Crianças,4,4,5,DP_9fb30649,-23.683465897524272,-46.60587669044847,4.77,2,4,2,5
LOC_596e9127,-23.6911493903394,-46.788424204432026,1,1447.0,3565.99,Família com Crianças,4,4,3,DP_3fa9402c,-23.643582018815305,-46.79543261504149,5.33,7,5,6,7
LOC_9531b288,-23.575435936434747,-46.73808861850887,2,487.66,500.0,Família com Crianças,5,6,8,DP_3995de33,-23.57631254942576,-46.74539001789135,0.75,8,2,7,6
LOC_6f6ad3f7,-23.519052119786767,-46.78368191710919,2,3542.88,1262.32,Casal,4,3,7,DP_278ff609,-23.520351156484153,-46.78442654717463,0.16,2,4,1,9
LOC_aac588db,-23.68666812494549,-46.50170525717243,1,8608.97,1355.35,Adulto Sozinho,5,2,5,DP_e82396bc,-23.654765833563626,-46.547771504507246,5.87,2,7,8,6
LOC_b29e7254,-23.47623908046872,-46.59364452792054,4,1839.66,2450.84,Família com Crianças,5,9,10,DP_016f9fd0,-23.497880501976127,-46.591292407219186,2.41,3,6,1,4
LOC_5dc0eb60,-23.49842872398365,-46.606368634863315,4,1717.03,4922.24,Casal,7,6,5,DP_016f9fd0,-23.497880501976127,-46.591292407219186,1.54,3,6,1,5
LOC_dafc9aaa,-23.574094319653955,-46.61201277683541,2,2545.45,3334.28,Adulto Sozinho,4,7,2,DP_0fbca58c,-23.56222740269425,-46.613792866281635,1.33,3,3,7,6
LOC_5bdf1c86,-23.53245998112133,-46.655427751000495,2,1360.21,3440.33,Família com Crianças,6,8,3,DP_c3143460,-23.536034150499972,-46.66301473004276,0.87,9,1,7,8
LOC_1055bb55,-23.474853459549095,-46.73650436471428,2,4183.34,2014.12,Família com Crianças,3,4,5,DP_0ebff7ba,-23.483499439277384,-46.71833794171456,2.08,10,7,8,7
LOC_4585d216,-23.648969241589768,-46.602092586123604,3,955.93,4024.58,Idosos,5,5,5,DP_00670d2b,-23.64530423036534,-46.632571571084796,3.13,1,9,1,7
LOC_1fb29fbd,-23.539745581274417,-46.78501942680172,2,1621.49,2147.65,Família com Crianças,2,3,6,DP_278ff609,-23.520351156484153,-46.78442654717463,2.15,2,4,1,5
LOC_a00674d4,-23.548218597415413,-46.72166344276347,3,1754.6,3147.64,Adulto Sozinho,8,4,4,DP_eeaf801e,-23.531213276674276,-46.71786423760367,1.93,7,3,5,6
LOC_0fa2d31e,-23.530404321399303,-46.757890358433656,2,1411.0,2160.78,Família com Crianças,6,4,4,DP_a54904ce,-23.51353339304898,-46.74593307234313,2.23,5,2,8,9
LOC_9880fee0,-23.62008391786203,-46.763271971475255,2,483.72,3033.01,Casal,3,3,1,DP_07311449,-23.630234365078177,-46.79922003486498,3.83,1,4,9,5
LOC_f9729dfb,-23.62317369899596,-46.50878429938897,3,517.9,1332.65,Casal,4,5,5,DP_9143fac9,-23.62815516127242,-46.542894181220035,3.51,4,4,5,5
LOC_259df30f,-23.442703846513353,-46.520411651080664,4,817.54,1712.38,Adulto Sozinho,3,8,1,DP_f1441d18,-23.41135547459535,-46.51544828235832,3.52,7,1,9,4
LOC_87d86283,-23.527993238345058,-46.51750315893936,3,180.45,2020.88,Casal,4,3,3,DP_bee23920,-23.5371057126562,-46.509873617866766,1.28,8,3,10,7
LOC_d59c1438,-23.63969512009589,-46.57299221856975,2,3591.79,500.0,Casal,5,4,1,DP_10a1b32b,-23.62839796787828,-46.56361465380137,1.58,2,7,1,8
LOC_9248a265,-23.572390756172613,-46.625337188081396,2,1817.55,937.42,Adulto Sozinho,4,1,2,DP_a00fb47c,-23.562621931093844,-46.63620259607727,1.55,4,10,2,10
LOC_9f11e33b,-23.51507470409203,-46.66287165961668,3,1761.94,1621.48,Adulto Sozinho,5,5,3,DP_c3143460,-23.536034150499972,-46.66301473004276,2.33,9,1,7,6
LOC_b083b7ae,-23.601035118540956,-46.50712988363362,4,2708.23,5385.77,Adulto Sozinho,6,6,8,DP_d8b2af58,-23.60816697866152,-46.539444179453824,3.38,7,4,3,3
LOC_9cd0a421,-23.56579430856996,-46.77995899456186,2,366.65,500.0,Família com Crianças,1,5,1,DP_343959a8,-23.582683765439054,-46.76817242326442,2.23,3,9,2,8
LOC_39d7f227,-23.69644181256393,-46.60903781392027,2,399.61,921.55,Família com Crianças,4,5,3,DP_3b1ed2d1,-23.692287237134426,-46.599988112303,1.03,2,7,3,6
LOC_9bc84670,-23.658567279613983,-46.698586169695716,1,882.85,1550.92,Família com Crianças,5,6,1,DP_92787c0a,-23.63476440130138,-46.71492660975597,3.12,3,10,2,6
LOC_c236f9d1,-23.543133393489377,-46.74141160997335,2,1246.0,2549.27,Família com Crianças,2,5,4,DP_eeaf801e,-23.531213276674276,-46.71786423760367,2.74,7,3,5,9
LOC_4b0776d8,-23.6534942051957,-46.596790640165665,3,1178.11,629.08,Idosos,6,4,7,DP_9fb30649,-23.683465897524272,-46.60587669044847,3.45,2,4,2,3
LOC_3077277b,-23.431637530768935,-46.70207706697079,2,1303.02,967.7,Família com Crianças,5,8,4,DP_3a71bf58,-23.43519692543406,-46.70158743862493,0.4,7,7,10,7
LOC_ada58d7a,-23.50782819295702,-46.785591162918536,3,550.51,2248.69,Família com Crianças,8,10,2,DP_278ff609,-23.520351156484153,-46.78442654717463,1.4,2,4,1,4
LOC_f0490098,-23.49622815238212,-46.53137388423416,3,430.52,3363.2,Casal,6,4,5,DP_c17028c9,-23.490063501878993,-46.544020802933176,1.46,3,5,6,8
LOC_c9bdd4e9,-23.603624337060307,-46.769900249679864,2,661.42,4820.05,Família com Crianças,3,6,8,DP_343959a8,-23.582683765439054,-46.76817242326442,2.33,3,9,2,3
LOC_181a56ef,-23.443626625046253,-46.714259918133266,3,1041.9,4724.01,Adulto Sozinho,7,5,7,DP_3a71bf58,-23.43519692543406,-46.70158743862493,1.59,7,7,10,4
LOC_44d474bf,-23.567765012912528,-46.73373434434832,4,1241.38,3356.84,Família com Crianças,6,10,7,DP_3995de33,-23.57631254942576,-46.74539001789135,1.52,8,2,7,6
LOC_28ee808b,-23.498186935794063,-46.50922378339228,1,1623.57,5250.32,Idosos,3,1,1,DP_bf7dae2b,-23.511500995954705,-46.5273576580429,2.36,1,10,9,6
LOC_2046cdeb,-23.610053776213476,-46.79381977389254,1,560.02,3811.37,Adulto Sozinho,2,1,2,DP_07311449,-23.630234365078177,-46.79922003486498,2.31,1,4,9,9
LOC_cc7a668b,-23.477238280161682,-46.73247230104513,4,514.75,5020.52,Família com Crianças,7,7,7,DP_0ebff7ba,-23.483499439277384,-46.71833794171456,1.6,10,7,8,6
LOC_818a7a48,-23.56384424237392,-46.6915084076475,2,2899.5,4508.65,Adulto Sozinho,4,4,3,DP_2292002c,-23.580491623989225,-46.69087774938304,1.85,8,1,6,7
LOC_345f96f3,-23.687107244279698,-46.60739933165668,3,1203.42,1687.44,Família com Crianças,4,6,6,DP_9fb30649,-23.683465897524272,-46.60587669044847,0.43,2,4,2,10
LOC_3df8415a,-23.680762048383354,-46.77501084426398,1,1399.69,1302.48,Idosos,8,5,1,DP_3fa9402c,-23.643582018815305,-46.79543261504149,4.62,7,5,6,7
LOC_d2a6f89c,-23.479004617563657,-46.60973456053987,3,3226.76,2699.26,Adulto Sozinho,6,6,2,DP_016f9fd0,-23.497880501976127,-46.591292407219186,2.81,3,6,1,7
LOC_40afbf59,-23.52451124007237,-46.592771167088294,3,1049.14,2978.31,Família com Crianças,7,2,6,DP_ea4ff28e,-23.539984614076108,-46.58729301667153,1.81,10,7,5,8
LOC_2f239570,-23.515850230572763,-46.79877539125107,1,951.05,500.0,Casal,1,1,1,DP_278ff609,-23.520351156484153,-46.78442654717463,1.54,2,4,1,9
LOC_27d0c8d2,-23.53115613093273,-46.6446166773407,3,1884.65,5554.67,Casal,5,8,4,DP_2797e0bd,-23.51956257185729,-46.63257593664645,1.78,2,4,3,5
LOC_a281406a,-23.425071722471053,-46.50461384289539,4,708.93,2412.87,Família com Crianças,6,9,10,DP_f1441d18,-23.41135547459535,-46.51544828235832,1.88,7,1,9,5
LOC_ba94eb52,-23.631443466785438,-46.633504779519406,2,458.17,6690.06,Família com Crianças,4,6,7,DP_00670d2b,-23.64530423036534,-46.632571571084796,1.54,1,9,1,8
LOC_4afc02b6,-23.500766258325832,-46.60970268791074,2,397.45,3595.94,Adulto Sozinho,5,2,4,DP_016f9fd0,-23.497880501976127,-46.591292407219186,1.9,3,6,1,7
LOC_712d7a8e,-23.692690848783062,-46.68122507060719,3,3065.74,1818.31,Adulto Sozinho,4,8,2,DP_00670d2b,-23.64530423036534,-46.632571571084796,7.22,1,9,1,2
LOC_00acf8db,-23.660556300481034,-46.56053698082801,2,1790.61,4345.2,Família com Crianças,1,7,4,DP_e82396bc,-23.654765833563626,-46.547771504507246,1.45,2,7,8,8
LOC_14c0ce30,-23.515535548170398,-46.61761622498976,4,3868.19,3747.67,Família com Crianças,7,9,8,DP_2797e0bd,-23.51956257185729,-46.63257593664645,1.59,2,4,3,7
LOC_1b21d8eb,-23.58888668147037,-46.73537908649835,2,848.14,1413.06,Idosos,5,2,1,DP_3995de33,-23.57631254942576,-46.74539001789135,1.73,8,2,7,10
LOC_597f69e8,-23.438941782435755,-46.66013369192386,3,1247.4,855.65,Casal,4,6,3,DP_f793fdd2,-23.431616529114766,-46.66263748164485,0.85,6,7,7,7
LOC_957d5520,-23.4533905093028,-46.57359265540132,4,563.12,1652.41,Família com Crianças,6,7,7,DP_add8a21a,-23.445722312961912,-46.579277303118424,1.03,3,6,10,5
LOC_fdaab768,-23.47459402127431,-46.67178471049958,3,2997.35,500.0,Família com Crianças,8,10,7,DP_e85b803d,-23.476551386484136,-46.672197503533354,0.22,9,3,4,7
LOC_a3b15e23,-23.46285005293248,-46.65941523039501,3,637.18,1917.17,Família com Crianças,5,6,4,DP_e85b803d,-23.476551386484136,-46.672197503533354,2.0,9,3,4,8
LOC_ca3faac9,-23.501761488137237,-46.727029159167614,1,833.33,500.0,Casal,1,1,3,DP_0ebff7ba,-23.483499439277384,-46.71833794171456,2.21,10,7,8,7
LOC_6fa6f5d2,-23.61989128857192,-46.566845459007894,4,656.45,1815.06,Família com Crianças,7,5,7,DP_10a1b32b,-23.62839796787828,-46.56361465380137,1.0,2,7,1,2
LOC_222d7519,-23.560720840603157,-46.56739008655986,3,2694.79,7944.81,Família com Crianças,8,9,6,DP_e3b3e572,-23.56900733739578,-46.57788991054601,1.41,9,7,9,5
LOC_88034fcf,-23.401147920602092,-46.73383137959072,3,556.86,1221.8,Casal,5,3,7,DP_3a71bf58,-23.43519692543406,-46.70158743862493,5.01,7,7,10,7
LOC_cdd13b00,-23.416607573231097,-46.650629477168955,3,907.31,2598.6,Casal,5,8,5,DP_f793fdd2,-23.431616529114766,-46.66263748164485,2.07,6,7,7,6
LOC_ba6c37ca,-23.606470603228576,-46.68922937386492,1,925.01,3725.66,Família com Crianças,2,5,6,DP_acf77492,-23.609343827131887,-46.67888248558128,1.1,2,3,7,8
LOC_d26a1d77,-23.439990155484267,-46.54141710173938,3,5508.6,2369.11,Família com Crianças,5,7,8,DP_add8a21a,-23.445722312961912,-46.579277303118424,3.91,3,6,10,4
LOC_e834bc98,-23.66520423148147,-46.56042961391183,3,1181.93,1728.62,Adulto Sozinho,6,4,7,DP_e82396bc,-23.654765833563626,-46.547771504507246,1.73,2,7,8,6
LOC_4db44d98,-23.451184332211877,-46.787267037038646,3,585.88,3386.27,Família com Crianças,3,6,7,DP_5efad43c,-23.449178349861636,-46.78862134213231,0.26,4,10,5,7
LOC_f4e439aa,-23.697299909117152,-46.792885384692894,1,1939.15,3013.1,Família com Crianças,4,7,1,DP_3fa9402c,-23.643582018815305,-46.79543261504149,5.97,7,5,6,5
LOC_a870da10,-23.503325674333038,-46.66624243767332,3,3768.51,1526.11,Família com Crianças,4,5,8,DP_b94f8228,-23.501066491511626,-46.685593555369756,1.99,1,5,9,6
LOC_b945758c,-23.53091180404146,-46.65188871651553,3,593.37,871.8,Adulto Sozinho,6,6,8,DP_c3143460,-23.536034150499972,-46.66301473004276,1.27,9,1,7,7
LOC_4a5d97e9,-23.483509068193502,-46.78255356409143,2,947.35,542.69,Casal,2,2,3,DP_803fe971,-23.482326056051757,-46.76214704832643,2.08,10,1,1,9
LOC_60b56dad,-23.406420732182134,-46.52164705131623,3,254.65,3887.33,Casal,5,5,4,DP_f1441d18,-23.41135547459535,-46.51544828235832,0.84,7,1,9,7
LOC_cdf57db6,-23.692284054607743,-46.569164307764474,1,928.4,4340.24,Idosos,1,2,2,DP_3b1ed2d1,-23.692287237134426,-46.599988112303,3.13,2,7,3,8
